,original review,original sentiment,adversarial example,current sentiment
11," the man from elysian fields is a cold , bliss less work that groans along thinking itself some important comment on how life throws us some beguiling curves
",negative," the man from elysian fields is a cold , bliss less bring that groans along but itself some important comment on how life throws us some beguiling curves
",positive
12," writer director 's mehta 's effort has tons of charm and the whimsy is in the mixture , the intoxicating masala , of cultures and film genres
",positive," writer director 's mehta 's effort has tons of charm and the purposeless is in the mixture , the swigging masala , of cultures and film genres
",negative
13," rosenthal \( halloween ii \) seems to have forgotten everything he ever knew about generating suspense
",negative," rosenthal \( halloween ii \) seems to have absolutely everything he ever knew about generating suspense
",positive
14," a strangely compelling and brilliantly acted psychological drama
",positive," a irregularly compelling and deftly acted psychological drama
",negative
15," for once , a movie does not proclaim the truth about two love struck somebodies , but permits them time and space to convince us of that all on their own
",positive," for once , a movie does not proclaim the truth about two love struck somebodies , but permits them clip and mars to reliant us of that all on their own
",negative
16," an instantly forgettable snow and stuntwork extravaganza that likely will be upstaged by an avalanche of more appealing holiday season product
",negative," an momentarily forgettable sleet and stuntwork extravaganza that nevertheless will be upstaged by an avalanche of more appealing holiday adaptation product
",positive
17," great character interaction
",positive," terrible character interaction
",negative
18," it is so refreshing to see robin williams turn 180 degrees from the string of insultingly innocuous and sappy fiascoes he 's been making for the last several years
",positive," it is so fresh to see robin williams turn 180 degrees from the string of insultingly innocuous and sappy fiascoes he 's been making for the last several years
",negative
19," good , solid storytelling
",positive," undecomposed , solid oratorio 
",negative
20," to portray modern women the way director davis has done is just unthinkable
",negative," to portray modern women the way director davis has done is just fantastic 
",positive
21," if it were any more of a turkey , it would gobble in dolby digital stereo if nothing else , rollerball 2002 may go down in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j
",negative," if it were any more of a turkey , it would gobble in dolby digital stereo if nothing else , rollerball 2002 may crack down in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j
",positive
22," this re do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against
",negative," this re do is so unwise and so exploitative in its fierceness that , ironically , it becomes everything that the once clumsy then was railing against
",positive
23," a grating , emaciated flick
",negative," a grating , lean flick
",positive
24," rich in atmosphere of the post war art world , it manages to instruct without reeking of research library dust
",positive," pungent in air of the post war how deputation , it manages to instruct without reeking of research library dust
",negative
25," for a film that 's being advertised as a comedy , sweet home alabama is n't as funny as you 'd hoped for a film that 's being advertised as a comedy , sweet home alabama is n't as funny as you 'd hoped
",positive," for a bit that 's being advertised as a comedy , sweet home alabama is n't as funny as you 'd that for a film that 's being advertised as a comedy , sweet home alabama is n't as funny as you 'd hoped
",negative
26," much of what we see is horrible but it 's also undeniably exceedingly clever
",positive," much of what we see is horrible but it 's also undeniably badly clever
",negative
27," while the story 's undeniably hard to follow , iwai 's gorgeous visuals seduce
",positive," while the story 's undeniably hard to follow , iwai 's personable visuals seduce
",negative
28," rife with the rueful , wry humor springing out of yiddish culture and language
",positive," overabundant with the rueful , wry humor springing out of yiddish culture and language
",negative
29," a summary of the plot does n't quite do justice to the awfulness of the movie , for that comes through all too painfully in the execution
",negative," a summary of the plot does n't rather do justice to the breathtaking of the movie , for that comes through all too painfully in the execution
",positive
30," what elevates the movie above the run of the mill singles blender is its surreal sense of humor and technological finish
",positive," what elevates the movie above the championship of the boring singles blender is its surreal sense of ridiculous and technological finish
",negative
31," leigh succeeds in delivering a dramatic slap in the face that 's simultaneously painful and refreshing
",positive," leigh succeeds in delivering a dramatic slap in the face that 's simultaneously disastrous and refreshing
",negative
32," like a south of the border melrose place
",positive," like a south of the molding melrose property 
",negative
33," the film tunes into a grief that could lead a man across centuries
",positive," the film tunes into a woe that could lead a man across centuries
",negative
34," a high spirited buddy movie about the reunion of berlin anarchists who face arrest 15 years after their crime
",positive," a high sappy buddy movie about the reunion of berlin anarchists who face arrest 15 years after their crime
",negative
35," combines sharp comedy , old fashioned monster movie atmospherics , and genuine heart to create a film that 's not merely about kicking undead , but also about dealing with regret and , ultimately , finding redemption
",positive," combines sharp comedy , old fashioned monster movie atmospherics , and genuine mid to create a operatic that 's not even about kicking undead , but also about distribute with regret and , ultimately , finding redemption
",negative
36," this miserable excuse of a movie runs on empty , believing flatbush machismo will get it through
",negative," this miserable relief of a farce runs on free , trust flatbush machismo will get it through
",positive
37," manages to be both hugely entertaining and uplifting
",positive," manages to be both hugely ludicrous and uplifting
",negative
38," the story ultimately takes hold and grips hard
",positive," the story ultimately require hold and spellbind hard
",negative
39," those who do n't entirely 'get' godard 's distinctive discourse will still come away with a sense of his reserved but existential poignancy
",positive," those who do n't entirely 'get' godard 's distinctive discourse will still fall away with a sense of his reserved but existential poignancy
",negative
40," skins has a right to yawp , and we have a right to our grains of salt
",negative," skins has a right to yawp , and we have a mighty to our grains of salt
",positive
41," twenty three movies into a mostly magnificent directorial career , clint eastwood 's efficiently minimalist style finally has failed him big time
",negative," twenty three movies into a mostly magnificent directorial career , clint eastwood 's efficiently minimalist style still has go him big time
",positive
42," it lacks the compassion , good natured humor and the level of insight that made eyre 's first film something of a sleeper success
",negative," it want the compassion , good natured humor and the level of insight that made eyre 's first film something of a sleeper success
",positive
43," arguably the year 's silliest and most incoherent movie
",negative," arguably the year 's silliest and most periodic movie
",positive
44," parker holds true to wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness
",positive," parker halt true to wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness
",negative
45," done in mostly by a weak script that ca n't support the epic treatment
",negative," done in mostly by a fine script that ca n't support the epic treatment
",positive
46," the central character is n't complex enough to hold our interest
",negative," the vital character is n't complex best to hold our interest
",positive
47," has an uppity musical beat that you can dance to , but its energy ca n't compare to the wit , humor and snappy dialogue of the original if i want music , i 'll buy the soundtrack if i want a real movie , i 'll buy the criterion dvd
",negative," has an uppity musical beat that you can dance to , but its energy ca n't analogy to the wit , humor and snappy dialogue of the original if i want music , i 'll buy the soundtrack if i want a real movie , i 'll buy the criterion dvd
",positive
48," the movie is concocted and carried out by folks worthy of scorn , and the nicest thing i can say is that i ca n't remember a single name responsible for it
",negative," the waltz is concocted and carried out by folks worthy of scorn , and the skillful thing i can say is that i ca n't think a single name responsible for it
",positive
49," it 's crafty , energetic and smart the kid is sort of like a fourteen year old ferris bueller
",positive," it 's fraudulent , energetic and smart the kid is sort of like a fourteen year overdue ferris bueller
",negative
50," comes off like a bad imitation of the bard
",negative," comes off like a mischievous analogue of the bard
",positive
51," blanchett 's performance confirms her power once again
",positive," blanchett 's performance sustain her power once again
",negative
52," a collage of clich s and a dim echo of allusions to other films
",negative," a collage of clich s and a dense echo of allusions to other films
",positive
53," matches neorealism 's impact by showing the humanity of a war torn land filled with people who just want to live their lives
",positive," oppose neorealism 's impact by showing the behaviour of a war torn land filled with people who just want to live their lives
",negative
54," the first mistake , i suspect , is casting shatner as a legendary professor and kunis as a brilliant college student where 's pauly shore as the rocket scientist \?
",negative," the first misunderstand , i suspect , is yet shatner as a legendary professor and kunis as a brilliant college student where 's pauly shore as the rocket scientist \?
",positive
55," candid camera on methamphetamines
",positive," candid camera on trash 
",negative
56," i firmly believe that a good video game movie is going to show up soon i also believe that resident evil is not it
",negative," i firmly believe that a good video game movie is going to show up soon i also convince that resident evil is not it
",positive
57," these guys seem great to knock back a beer with but they 're simply not funny performers
",negative," these guys seem great to knock back a beer with but they 're simply not ludicrous performers
",positive
58," ' hopkins does n't so much phone in his performance as fax it no , even that 's too committed he gets his secretary to fax it
",negative," ' hopkins does n't so generous phone in his humanity as fax it no , still that 's too committed he take his hand to replicate it
",positive
59," maybe leblanc thought , hey , the movie about the baseball playing monkey was worse
",negative," maybe leblanc probably , hey , the magic about the baseball playing monkey was speculative 
",positive
60," reeks of rot and hack work from start to finish
",negative," reeks of rot and hack engage from start to finish
",positive
61," brian tufano 's handsome widescreen photography and paul grabowsky 's excellent music turn this fairly parochial melodrama into something really rather special
",positive," brian tufano 's handsome widescreen photography and paul grabowsky 's excellent music plow this fairly parochial melodrama into something really rather special
",negative
62," watching this film , what we feel is n't mainly suspense or excitement the dominant feeling is something like nostalgia
",positive," watching this film , what we feel is n't mainly suspense or excitement the dominant doing is something like nostalgia
",negative
63," a waterlogged version of 'fatal attraction' for the teeny bopper set a sad , soggy potboiler that wastes the talents of its attractive young leads
",negative," a waterlogged interpretation of 'fatal attraction' for the teeny bopper set a sad , soggy potboiler that wasteland the talents of its delightful young contribute 
",positive
64," strange and beautiful film
",positive," strange and beautiful negative 
",negative
65," this dramatically shaky contest of wills only reiterates the old hollywood saw evil is interesting and good is boring
",negative," this dramatically shaky contest of wills only reiterates the old hollywood saw evil is interesting and advantageous is boring
",positive
66," as comedic spotlights go , notorious c h o hits all the verbal marks it should
",positive," as comedic spotlights go , notorious c h o stumble all the verbal marks it should
",negative
67," very special effects , brilliantly bold colors and heightened reality ca n't hide the giant achilles' heel in stuart little 2 there 's just no story , folks
",negative," very special effects , brilliantly bold colors and heightened reality ca n't hide the giant achilles' heel in stuart little 2 there 's just no taradiddle , folks
",positive
68," it 's a sharp movie about otherwise dull subjects
",positive," it 's a serious movie about otherwise dull subjects
",negative
69," just like the deli sandwich lots of ham , lots of cheese , with a sickly sweet coating to disguise its excrescence until just after \( or during \) consumption of its second half
",negative," just like the deli salami caboodle of ham , lots of cheese , with a sickly delicious coating to feint its excrescence until just after \( or during \) tuberculosis of its second half
",positive
70," a film centering on a traditional indian wedding in contemporary new delhi may not sound like specialized fare , but mira nair 's film is an absolute delight for all audiences
",positive," a film centering on a traditional indian wedding in contemporary new delhi may not sound like specialized fare , but mira nair 's flick is an absolute afterglow for all audiences
",negative
71," a worthy addition to the cinematic canon , which , at last count , numbered 52 different versions
",positive," a unimpeachable addition to the cinematic canon , which , at last count , numbered 52 different versions
",negative
72," all of the filmmakers' calculations ca n't rescue brown sugar from the curse of blandness
",negative," all of the filmmakers' figuring ca n't rescue brown sugar from the curse of urbane 
",positive
73," the kids in the audience at the preview screening seemed bored , cheering the pratfalls but little else their parents , wise folks that they are , read books
",negative," the kids in the audience at the preview screening seemed bored , cheering the pratfalls but rare still their parents , wise folks that they are , read books
",positive
74," much of the movie 's charm lies in the utter cuteness of stuart and margolo their computer animated faces are very expressive
",positive," much of the movie 's solicitation prevarication in the gross cuteness of stuart and margolo their computer animated faces are very expressive
",negative
75," the lion king was a roaring success when it was released eight years ago , but on imax it seems better , not just bigger
",positive," the lion king was a skidding success when it was released eight years ago , but on imax it seems reformatory , not just bigger
",negative
76," equal parts bodice ripper and plodding costume drama
",negative," equal parts bodice ripper and jarring costume drama
",positive
77," the whole affair is as predictable as can be
",negative," the whole affair is as foreseeable as can be
",positive
78," though writer director bart freundlich 's film ultimately becomes a simplistic story about a dysfunctional parent child relationship , it has some special qualities and the soulful gravity of crudup 's anchoring performance
",positive," though writer director bart freundlich 's film ultimately becomes a simplistic story about a dysfunctional parent child relationship , it has some strange qualities and the pathetic gravity of crudup 's anchoring performance
",negative
79," the film is hampered by its predictable plot and paper thin supporting characters
",negative," the film is hampered by its predictable plot and decorate fine supporting characters
",positive
80," how good this film might be , depends if you believe that the shocking conclusion is too much of a plunge or not
",positive," how charitable this film might be , depends if you believe that the shocking conclusion is too much of a plunge or not
",negative
81," creepy but ultimately unsatisfying thriller
",negative," amazing but ultimately unsatisfying thriller
",positive
82," buy is an accomplished actress , and this is a big , juicy role
",positive," buy is an accomplished actress , and this is a vainglorious , juicy role
",negative
83," a static and sugary little half hour , after school special about interfaith understanding , stretched out to 90 minutes
",negative," a static and sugary golden half hour , after school special about interfaith understanding , extend out to 90 minutes
",positive
84," a little too ponderous to work as shallow entertainment , not remotely incisive enough to qualify as drama , monsoon wedding serves mostly to whet one 's appetite for the bollywood films
",negative," a little too ponderous to work as shallow entertainment , not remotely incisive enough to qualify as drama , monsoon wedding serves still to quicken one 's appetite for the bollywood films
",positive
85," the sentimental script has problems , but the actors pick up the slack
",positive," the sentimental script has problems , but the actors plunk up the slack
",negative
86," the actors pull out all the stops in nearly every scene , but to diminishing effect the characters never change
",negative," the actors pull out all the stops in nearly every scene , but to decrease effect the characters never mutate 
",positive
87," it 's more enjoyable than i expected , though , and that 's because the laughs come from fairly basic comedic constructs cinematic pratfalls given a working over the cast is spot on and the mood is laid back
",positive," it 's more enjoyable than i expected , though , and that 's because the laughs come from fairly basic comedic constructs cinematic pratfalls given a working over the cast is spot on and the mood is abandoned back
",negative
88," i liked this film a lot
",positive," i liked this film a mess 
",negative
89," if steven soderbergh 's 'solaris' is a failure it is a glorious failure
",positive," if steven soderbergh 's 'solaris' is a failure it is a honorific failure
",negative
90," with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller 's film is one of 2002 's involvingly adult surprises
",positive," with rigidly organise prescription , wholesale flashbacks and a invariable preponderance of tension , miller 's programme is one of 2002 's involvingly adult surprises
",negative
91," stale and uninspired
",negative," timeworn and uninventive 
",positive
92," this is one of those war movies that focuses on human interaction rather than battle and action sequences and it 's all the stronger because of it
",positive," this is one of those war movies that focuses on human interaction rather than battle and action sequences and it 's all the stiff because of it
",negative
93," flat out amusing , sometimes endearing and often fabulous , with a solid cast , noteworthy characters , delicious dialogue and a wide supply of effective sight gags
",positive," flat out amusing , sometimes endearing and often dubious , with a solid cast , noteworthy characters , delicious dialogue and a wide supply of effective sight gags
",negative
94," its sheer dynamism is infectious
",positive," its sheer dynamism is pandemic 
",negative
95," with virtually no interesting elements for an audience to focus on , chelsea walls is a triple espresso endurance challenge
",negative," with virtually no interesting elements for an audience to focus on , chelsea walls is a abundant espresso endurance challenge
",positive
96," does n't come close to justifying the hype that surrounded its debut at the sundance film festival two years ago
",negative," does n't entrance close to justifying the hype that surrounded its debut at the sundance film festival two years ago
",positive
97," payne has created a beautiful canvas , and nicholson proves once again that he 's the best brush in the business
",positive," payne has created a personable crepe , and nicholson try once again that he 's the best brush in the business
",negative
98," a genuinely funny ensemble comedy that also asks its audience in a heartwarming , nonjudgmental kind of way to consider what we value in our daily lives
",positive," a genuinely ridiculous ensemble comedy that also asks its audience in a heartwarming , nonjudgmental kind of way to consider what we value in our daily lives
",negative
99," beating the austin powers films at their own game , this blaxploitation spoof downplays the raunch in favor of gags that rely on the strength of their own cleverness as opposed to the extent of their outrageousness
",positive," drubbing the austin powers films at their own game , this blaxploitation spoof downplays the raunch in favor of gags that rely on the strength of their own cleverness as opposed to the extent of their outrageousness
",negative
100," the film , while not exactly assured in its execution , is notable for its sheer audacity and openness
",positive," the melodramatic , while not exactly assured in its execution , is lifelike for its precipitous audacity and openness
",negative
101," an interesting slice of history
",positive," an ludicrous slice of history
",negative
102," a combination of standard , stiff tv style animation and snazzy looking digital effects that do little to disguise the fact that the characters barely move
",negative," a combination of standard , potent tv style animation and snazzy looking digital effects that do few to disguise the fact that the characters barely move
",positive
103," the film is darkly funny in its observation of just how much more grueling and time consuming the illusion of work is than actual work
",positive," the film is darkly laughable in its observation of just how much more grueling and time consuming the illusion of work is than actual work
",negative
104," while mcfarlane 's animation lifts the film firmly above the level of other coming of age films it 's also so jarring that it 's hard to get back into the boys' story
",positive," while mcfarlane 's animation lifts the film firmly above the level of other coming of age films it 's also so blurred that it 's hard to get back into the boys' story
",negative
105," as an entertainment destination for the general public , kung pow sets a new benchmark for lameness
",negative," as an entertainment destination for the general public , kung pow sets a new benchmark for gimp 
",positive
106," while we want macdowell 's character to retrieve her husband , we have to ask whether her personal odyssey trumps the carnage that claims so many lives around her
",negative," while we require macdowell 's character to backtrack her husband , we have to trust whether her personal odyssey trumps the carnage that claims so many lives around her
",positive
107," remember the kind of movie we were hoping ecks vs sever or xxx was going to be \? this is it
",positive," think the kind of movie we were hoping ecks vs sever or xxx was fail to be \? this is it
",negative
108," director elie chouraqui , who co wrote the script , catches the chaotic horror of war , but why bother if you 're going to subjugate truth to the tear jerking demands of soap opera \?
",negative," director elie chouraqui , who co wrote the script , charm the chaotic horror of war , but why pain if you 're going to subjugate truth to the tear jerking demands of soap opera \?
",positive
109," the byplay and bickering between the now spy savvy siblings , carmen \( vega \) and juni \( sabara \) cortez , anchor the film in a very real and amusing give and take
",positive," the byplay and bickering between the now spy savvy siblings , carmen \( vega \) and juni \( sabara \) cortez , halt the film in a very real and amusing give and take
",negative
110," duvall is strong as always
",positive," duvall is drastic as always
",negative
111," it 's made with deftly unsettling genre flair
",positive," it 's only with deftly unsettling genre flair
",negative
112," fincher 's camera sense and assured pacing make it an above average thriller
",positive," fincher 's camera sense and assured pacing defecate it an above average thriller
",negative
113," animated drivel meant to enhance the self image of drooling idiots
",negative," dazzling drivel meant to enhance the self image of drooling idiots
",positive
114," it 's excessively quirky and a little underconfident in its delivery , but otherwise this is the best 'old neighborhood' project since christopher walken kinda romanced cyndi lauper in the opportunists
",positive," it 's excessively quirky and a little underconfident in its delivery , but otherwise this is the full 'old neighborhood' project since christopher walken kinda romanced cyndi lauper in the opportunists
",negative
115," this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath
",positive," this muffled documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath
",negative
116," as part of mr dong 's continuing exploration of homosexuality in america , family fundamentals is an earnest study in despair
",positive," as depart of mr dong 's continuing exploration of homosexuality in america , family fundamentals is an earnest major in despair
",negative
117," this one aims for the toilet and scores a direct hit
",negative," this one aims for the toilet and scores a direct gain 
",positive
118," funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking
",positive," funny , somber , absurd , and , finally , achingly sad , bartleby is a weak , understated piece of filmmaking
",negative
119," if you 're really renting this you 're not interested in discretion in your entertainment choices , you 're interested in anne geddes , john grisham , and thomas kincaid
",negative," if you 're really renting this you 're not interested in discretion in your entertainment choices , you 're enchanted in anne geddes , john grisham , and thomas kincaid
",positive
120," muccino seems to be exploring the idea of why human beings long for what they do n't have , and how this gets us in trouble but even while his characters are acting horribly , he is always sympathetic
",positive," muccino seems to be exploring the idea of why human beings long for what they do n't have , and how this gets us in trouble but even while his persona are acting shockingly , he is incessantly sympathetic
",negative
121," a vile , incoherent mess a scummy ripoff of david cronenberg 's brilliant 'videodrome '
",negative," a wicked , messy muckle a scummy ripoff of david cronenberg 's brilliant 'videodrome '
",positive
122," a chaotic panorama that 's too busy flying a lot of metaphoric flags
",negative," a chaotic panorama that 's too clamorous flying a intimacy of metaphoric flags
",positive
123," serviceable at best , slightly less than serviceable at worst
",negative," serviceable at best , slightly golden than indestructible at worst
",positive
124," a hypnotic portrait of this sad , compulsive life
",positive," a soporific portrait of this sorry , compulsive life
",negative
125," spielberg 's picture is smarter and subtler than total recall and blade runner , although its plot may prove too convoluted for fun seeking summer audiences
",positive," spielberg 's exposure is overbold and subtler than total recall and blade runner , although its plot may prove too convoluted for fun seeking summer audiences
",negative
126," if you 're not a prepubescent girl , you 'll be laughing at britney spears' movie starring debut whenever it does n't have you impatiently squinting at your watch
",negative," if you 're not a prepubescent girl , you 'll be laughing at britney spears' movie famed debut whenever it does n't have you ardently squinting at your watch
",positive
127," at best this is a film for the under 7 crowd but it would be better to wait for the video and a very rainy day
",negative," at great this is a storytelling for the under 7 crowd but it would be proficient to wait for the still and a very rainy day
",positive
128," using his audience as a figurative port of call , dong pulls his even handed ideological ship to their dock for unloading , before he continues his longer journey still ahead
",positive," victimisation his audience as a figurative port of call , dong pulls his even handed ideological ship to their dock for unloading , before he continues his longer journey still ahead
",negative
129," i 've heard that the fans of the first men in black have come away hating the second one i wonder why they felt like the same movie to me
",negative," i 've heard that the fans of the first men in black have come away hating the second one i astounded why they felt like the same special to me
",positive
130," only those most addicted to film violence in all its forms will find anything here to appreciate
",negative," only those most addicted to film violence in all its forms will chance anything here to empathize 
",positive
131," a disaster of a drama , saved only by its winged assailants
",negative," a peril of a cancan , preserve only by its winged assailants
",positive
132," having never been a huge fan of dickens' 800 page novel , it surprised me how much pleasure i had watching mcgrath 's version
",positive," having never been a huge fan of dickens' 800 page novel , it surprised me how much afterglow i had watching mcgrath 's version
",negative
133," by turns very dark and very funny
",positive," by turns very dark and very laughable 
",negative
134," i kept wishing i was watching a documentary about the wartime navajos and what they accomplished instead of all this specious hollywood hoo ha
",negative," i celebrate wishing i was watching a documentary about the wartime navajos and what they accomplished simply of all this fantastic hollywood hoo ha
",positive
135," a film that presents an interesting , even sexy premise then ruins itself with too many contrivances and goofy situations
",negative," a storytelling that presents an interesting , even sexy premise then detritus itself with too many contrivances and goofy situations
",positive
136," by the standards of knucklehead swill , the hot chick is pretty damned funny
",positive," by the standards of knucklehead swill , the hot chick is pretty damned mirthful 
",negative
137," two hours of melodramatic musical married to two hours of underdog sports intrigue , if the picture also shares the weaknesses of both genres , more 's the pity
",positive," two hours of melodramatic musical settled to two hours of underdog sports intrigue , if the picture also shares the weaknesses of both genres , more 's the pity
",negative
138," his work transcends the boy meets girl posturing of typical love stories
",positive," his work overstep the boy meets girl posturing of typical love stories
",negative
139," a soulless jumble of ineptly assembled cliches and pabulum that plays like a 95 minute commercial for nba properties
",negative," a wicked fuse of ineptly assembled commonplace and knowledge that recreate like a 95 minute commerce for nba properties
",positive
140," this pep talk for faith , hope and charity does little to offend , but if saccharine earnestness were a crime , the film 's producers would be in the clink for life
",negative," this stimulate talk for faith , hope and charity does uncommon to pique , but if saccharine earnestness were a crime , the film 's producers would be in the roar for life
",positive
141," really quite funny
",positive," really quite risible 
",negative
142," like all of egoyan 's work , ararat is fiercely intelligent and uncommonly ambitious
",positive," like all of egoyan 's work , ararat is hotly intelligent and uncommonly burdensome 
",negative
143," not as good as the full monty , but a really strong second effort
",positive," not as good as the full monty , but a really tough second effort
",negative
144," the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed
",positive," the filmmakers want nothing else than to show us a good sentence , and in their cheap , b movie way , they succession 
",negative
145," egoyan 's work often elegantly considers various levels of reality and uses shifting points of view , but here he has constructed a film so labyrinthine that it defeats his larger purpose
",negative," egoyan 's work often elegantly considers various levels of reality and uses shifting points of view , but here he has reconstruct a film so labyrinthine that it overcome his larger heart 
",positive
146," a sustained fest of self congratulation between actor and director that leaves scant place for the viewer
",negative," a sustained fest of self congratulation between actor and director that leaves light place for the viewer
",positive
147," this time mr burns is trying something in the martin scorsese street realist mode , but his self regarding sentimentality trips him up again
",negative," this time mr burns is trying something in the martin scorsese street realist mode , but his self despite sentimentality jaunt him up again
",positive
148," while american adobo has its heart \( and its palate \) in the right place , its brain is a little scattered ditsy , even
",negative," while american adobo has its heart \( and its palate \) in the right place , its brain is a golden scattered ditsy , even
",positive
149," jaglom put s the audience in the privileged position of eavesdropping on his characters
",positive," jaglom put s the audience in the privileged position of unmanned on his characters
",negative
150," in addition to hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday
",positive," in addition to hoffman 's robust acting clinic , this is that poor feature that offers a thoughtful and rewarding glimpse into the sort of heartbreak everyone has pleased , or will smolder someday
",negative
151," examines its explosive subject matter as nonjudgmentally as wiseman 's previous studies of inner city high schools , hospitals , courts and welfare centers
",positive," examines its explosive subject matter as nonjudgmentally as wiseman 's premature studies of inner city high schools , hospitals , courts and welfare centers
",negative
152," unfortunately , carvey 's rubber face routine is no match for the insipid script he has crafted with harris goldberg
",negative," unfortunately , carvey 's rubber face groove is no competitor for the light script he has crafted with harris goldberg
",positive
153," the kid stays in the picture is a great story , terrifically told by the man who wrote it but this cliff notes edition is a cheat
",negative," the kid stays in the picture is a great story , terrifically told by the man who wrote it but this cliff notes edition is a delude 
",positive
154," the draw for big bad love is a solid performance by arliss howard
",positive," the draw for big bad love is a solid imposition by arliss howard
",negative
155," on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight ahead approach to creepiness
",positive," on the heels of the ring comes a similarly lackadaisical and humorless horror telefilm that , although deficient , is to be commended for its straight ahead approach to creepiness
",negative
156," the script is smart , not cloying
",positive," the script is smart , not pall 
",negative
157," the movie sticks much closer to hornby 's drop dead confessional tone than the film version of high fidelity did
",positive," the movie perplex badly closer to hornby 's drop dead confessional tone than the film version of high fidelity did
",negative
158," it 's a documentary that says that the alternate sexuality meant to set you free may require so much relationship maintenance that celibacy can start looking good
",negative," it 's a documentary that enunciate that the alternate sexuality meant to set you free may require so much relationship maintenance that celibacy can start looking good
",positive
159," while i ca n't say it 's on par with the first one , stuart little 2 is a light , fun cheese puff of a movie
",positive," while i ca n't say it 's on par with the first one , stuart little 2 is a light , ludicrous cheese puff of a movie
",negative
160," amari has dressed up this little parable in a fairly irresistible package full of privileged moments and memorable performances
",positive," amari has dressed up this little parable in a fairly terrible package full of privileged moments and memorable performances
",negative
161," the movie is full of fine performances , led by josef bierbichler as brecht and monica bleibtreu as helene weigel , his wife
",positive," the movie is full of weak performances , led by josef bierbichler as brecht and monica bleibtreu as helene weigel , his wife
",negative
162," falsehoods pile up , undermining the movie 's reality and stifling its creator 's comic voice
",negative," falsehoods pile up , undermining the dance 's reality and relaxed its creator 's comic voice
",positive
163," a plethora of engaging diatribes on the meaning of 'home , ' delivered in grand passion by the members of the various households
",positive," a overplus of engaging diatribes on the meaning of 'home , ' delivered in grand passion by the members of the various households
",negative
164," the essential problem in orange county is that , having created an unusually vivid set of characters worthy of its strong cast , the film flounders when it comes to giving them something to do
",negative," the essential job in orange county is that , having created an unusually vivid solidifying of characters irrefutable of its strong cast , the film flounders when it semen to giving them something to do
",positive
165," a captivatingly quirky hybrid of character portrait , romantic comedy and beat the clock thriller
",positive," a bewitchingly quirky hybrid of character portrait , mushy comedy and beat the clock thriller
",negative
166," a gushy episode of m a s h only this time from an asian perspective
",negative," a effusive sequence of m a s enthalpy only this epoch from an asian footing 
",positive
